sentiment,review_body,product_category
0,"My review of the pros : 1) quality made  not see through in any way  can wear with small bra straps 2) lace gives the top a 'different look""  really liked it. my review of the cons  which made me return the top 1) runs huge!!! i am 5'2""  36 small c  broad shoulders and my usual size medium looked like an xl. it was large in the bust area and almost 'puckered' at the armpits? i would probably order 2 sizes down to an xs  which i never wear in any size top. 2) for petite gals (i am 5'2"")  this a a",Blouses
0,I like the tunic but there are no care instructions in the garment. if i wash it once and it shrinks or the dye runs it will be going back. please send care instructions.,Blouses
0,Tried this on in store with red ag ankle jeans and the only thing i could do was chuckle. it looked like a sleeveless lab coat or butchers coat. take your pick this styling was not for me. the fabric is nice not flimsy. you can see whatever pants your wearing underneath but i guess that's a moot point since it does have a substantial side slit. it does run tts. i'm 5'3ish  118# and the size 2 fit ok. probably would have sized up to the 4 because a slight pull at the chest (34d-dd). in the end i,Blouses
0,I love the pattern of this shirt but there is definitely a design flaw in the arm/armpits.,Blouses
1,I am writing a review even though this is currently sold out (and was just released). what i love: the fit: snug  not too tight  and xs is true to size in the sense of historically. the wasit is cinched in  ample room in the chest. the fabric is substantial (thick and sturdy) and not prone to wrinkle  based on me having it in the bag in the hot car) and no false pleats was created. the sleeves are fun and different  may be a bit much for some. it is in multiple pieces  why it flutters so nicely.,Blouses
1,This tunic looks great in person whether you get the red  green  or navy. runs true and hangs well--the ruffle at the bottom is super flattering and the construction of this tunic is impressive! so good i had to get both the red and navy!,Blouses
1,I ordered this top in white and i was really excited for it to come in! once it once delivered and i tried it on it took me a second to decide if i liked it or not. i think i ordered it a size too big (i ordered a large  i'm usually a medium). it was somewhat boxy  but i think paired with the right pants and shoes it would be just what i wanted!,Blouses
1,Looks great with jeans for a more bohemian look.  i normally wear a medium but went large to accommodate a 6 month pregnant belly.  the blouse is loose enough i probably could have stayed with the medium.,Blouses
1,Light and airy. runs really small. had to go up 2 sizes. a little pricy but overall a cute blouse. not your typical blouse.,Blouses
1,Took a chance on this blouse and so glad i did. i wasn't crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked perfectly. crisp and clean is how i would describe it. launders well. fits great. drape is perfect. wear tucked in or out - can't go wrong.,Blouses
1,I really love cloth & stone  and this top did not disappoint. i am usually a size small in tops but tend to be an xs in halters because the arm holes are usually big on me. i went with my usual xs and it fit perfectly. it has a nice drape to it and is super soft. i will add that when looking at the picture  i didn't notice that there is a muted pink to the plaid design. i originally thought it was just a navy blue and white plaid. however  there is a really light pink to it as well. i actually w,Blouses
1,Another lovely  billowy top. i tried on the xsp and the bottom was just huge. and i have a huge bottom - haha! it flowed out so far in the back that it looked silly. it's too bad  because from the waist up  it looks great!,Blouses
1,I tried this in the store after looking at it online. the material was soft and flexible which was nice - i had been concerned that it might be stiff. however  it was a bit difficult to get on and off with the zipper on the back and the high neckline. overall  as a petite person  i felt the spots were too overwhelming for me. but if you like the spots  and have no trouble with back zippers  go for it.,Blouses
-1,"It's a fine dress  but it definitely runs small  and it's actually a lot shorter than i was expecting  especially since i'm only 5' 3""",Dresses
-1,Quality was not what you expect from retailer  especially for the price. top is lined but skirt is not. material is tissue paper thin and see thru. there is a point at the bottom of the sweetheart neckline that does not lay flat  it keeps popping up. however the back is very cute and for that i wanted to love it but too many negatives. was returned.,Dresses
-1,"First problem-i would not have ordered this at all had the description been correct. the fabric description is cotton which the dress is most certainly not. secondly  it has a really funky  cheap  unfinished  raw-hemmed slip which is simply not fitting for the dress. the keyhole in the front is super long-again  does not seem to fit the dress. i am not happy with this piece at all but it did fit tts. length is just above knee. i am 5'5"" 142 lbs 34d and the six was a good fit. sending this home t",Dresses
-1,"The lace and fit were good. but the length seemed awkward to me given how boxy and flowy-ish the dress is. it felt like a baby doll with sleeves or something. and i hated the ""outside"" middle material  hated it. it felt cheap and odd when compared to the lace. maybe i was just not in the right demographic for this piece.",Dresses
-1,I returned the dress because the color was not as pictured in the online photo. i did not like the color.,Dresses
-1,The fabric of this looks and feels so cheap it's hard to believe this is anna sui. i would say this is unwearable. there is zero stretch and it is made of itchy textured poly fabric that looks like novelty fabric at best. going back asap.,Dresses
-1,I own many retailer dresses but the sizing can be odd. i usually wear a size 4-6 and i have a floreat maxi dress size 4 that works well. i am 34c and based on the reviews i decided to order a size 6. the dress fits well except for he bust area that is very snug/couldn't even get the zipper up. i will probably have to order a size 10 to be able to close the zipper on the bust area but it will be huge everywhere else.the fabric seems very delicate and may develop runs easily. it's a shame because th,Dresses
-1,"Dress appears to be slim fit  but that's far from the case. usually wear an xs regular because i have a long torso for my 5'3""  but it just hung on me like a heavy sack. i have a hard time finding dresses now that i'm not working and like to have a couple on hand for all purpose occasions--weddings  memorials  special occasions. i hoped this one would meet my needs. disappointed.",Dresses
-1,I really love the pattern and the look on the model  and i thought i would love it. i ordered online  so i did not try on in store. when i tried it on  it has way too much fabric around the waist and skirt. it is thick fabric as well  and has a lining  and the waist has extra fabric for the design  and it has pockets  so it all adds up to be way too bulky. it is not flattering at all and made me look 10 pounds heavier. i am returning this dress. sad  because it looks so lovely on the model. i am,Dresses
0,I absolutely loved this dress  the style is flattering and the mix of fabrics and lace make it truly feminine and unique. the only problem is the bust runs really small. i normally wear a 4-6 in retailer but i ordered a 6 and and 8 and both were way to tight in the bust. very disappointed because i really wanted to keep this dress.,Dresses
0,I bought this dress to wear to my low-key backyard rehearsal dinner. the dress it's self is beautiful  good quality  and a perfect summer maxi. however  it was way too big. i'm 5'6  118 lbs  i typically wear an xs/0 and felt like i was swimming in fabric. i loved the style and make of the dress  so i choose to get it tailored.,Dresses
0,The pattern is very cute!  from the front i liked it  but when i turn to the side  you can see just how voluminous it is.  it ended up looking a bit tenty.  if it had just a bit more shape it would be perfect.  in the end  not the most flattering.,Dresses
0,I wanted to love this dress  especially because it's been given good reviews. i ordered the blue and tried it on. the fit was pretty good and the color is pretty and deep. i did not like the seam that ran around the drop waist. it created a weird allusion that the two pockets in front was actually a continuous pouch around the dress. i also did not like the neckline - there is fabric added on the shoulders that's in a different fabric and makes it look like you're wearing a t-shirt underneath th,Dresses
0,This dress has so much potential- loved the pattern and the neckline. however  only one side of the waist was gathered with a fake sash leaving the other side plain. the gathered side was super flattering while the other side showed any little lump or bump. needless to say  i'm returning it.,Dresses
0,This truly is a dress and not a tunic. i normally wear a medium but they were sold out so i thought i would try a l petite. i am only 5'4 and the large p was really long. i could definitely wear as a dress with tights. i am hoping it comes back in stock so i can try a medium p. unfortunately it is going back. cute sweater as pictured on the model!,Dresses
0,The fabric  so diaphanous! so flowy! the pattern  so pretty with such interesting colors. it could literally go with anything! purple  yellow  orange  green  they're all in there. but here's the but....    i have no waist! and when you put this type of empire silhouette on me  i look like i'm wearing a sack  or i have some pregnancy news--when i don't. i tried belting it : waist tie is too high; i tried putting on a vest  too annie hall and called too much attention to the sleeves  while adding,Dresses
0,This is a lovely dress - however  there is a weird flap of fabric under the bow that doesn't sit right. it feels a little like a bib. if i could get it to sit right  i would keep it. every angle of the dress is lovely except for head on - which is a small problem.,Dresses
0,"I love the maeve line and was excited to get this dress. unfortunately  the fit was just bad. the top fit fine but the bottom half was too snug and there were unattractive gaps around the waist and the pockets. don't think another size or tailoring would address the issue. for size  i am 5'4""  130 and ordered the 6.",Dresses
1,"My new favorite! i wouldn't have thought twice about this dress handling on a rack in store  but after seeing so many cute pics of ladies in this dress  i caved. i needed a petite  so ordered a sp and xsp. the length on both is perfect. i'm 5'0"" and both hit above my knee in front and hit at in back and on sides. i didn't try on a regular in store  but based on the sp/xsp  i'm pretty sure there'd be too much material for a petite frame. the xsp is cut slimmer and if i had a tiny waist  i'd proba",Dresses
1,"This is a beautiful dress. it's a great weight  unique pattern  and has gorgeous colors. it's fairly forgiving because of the heavy fabric but may run small on bottom. i am a 10 or 12 in pants  10 dress right now and i bought the 12. i am 5'8"" and 175 lbs  and 36c - also in the last stretch of a weight loss journey so if that helps anyone choose sizing... also i have to buy long or tall pants and this dress was not too short and did not show my smooth wear underneath. i love it and bought it at",Dresses
1,I'm anxious to wear this dress with boots. i love the colors and print. perfect for work and evenings out.,Dresses
1,Admittedly  i ignored this dress on a few trips to my local retailer and then it went on sale  practically begging me to give it attention. i tried it on and fell in love! so feminine  light  and comfortable.   it has a sort of roman/boho goddess vibe due to the billowy top  especially in the lighter greige with some sea-hued accessories added but not so much it feels like cosplay or something. i have a full bust (dd) and didn't find this dress to be unflattering. after wearing it to a party  i ac,Dresses
1,I received this dress yesterday and it exceeded expectations! i was not expecting the fabric to have a slight stretch and felt that the fabrication aided to the overall comfort of the dress without losing any of the quirky elegance. due to the stretch  however  i immediately ordered a size down for comparison. i'm a pretty solid 2 with eva franco dresses but with this cut i had about an inch of fabric in the waist. regardless  i'm keeping the dress - jury is just still out on which side!! measur,Dresses
1,I saw this dress on the cashier at retailer and had to order it. it is  as one of the reviewers said  like having two dresses in one. the bottom dress is a full dress  and the top lays over it  not quite skimming but not quite loose either. i love the dress as i am a pear shaped  size 14  and this helps to camouflage some bumps nicely. this dress reminds of the dresses some peasant women wear in rural countries.,Dresses
1,I absolutely love this dress. it's flattering and feminine. you will love it. it runs large so size down.,Dresses
1,Love love this dress! i got the regular size  but the length is more on the petite side. it's shorter than what i'm comfortable with  so will probably return it.,Dresses
1,Beautiful material- and washable!! i'm vertically challenged and the slits are a tad bit high  even for me- but still tasteful. i would suggest sizing down as i'm normally a medium in retailer but due to the nature of the material i opted to size down and i'm so glad i did!! no arm hole struggles with my particular dress either. overall just a really cute  versatile  cozy and functional option that will certainly get plenty of exposure for many winters to come.,Dresses
-1,This hoodie was too thin. you can see right through it. i returned it.,Fine gauge
-1,This sweater was not as featured in the picture. the front is completely cropped while the back is regular length. the front barely reached the middle of my stomach. also  the color was not as vibrant as shown in the picture. this sweater will be going back.,Fine gauge
-1,Retailer consistently provides unique  sophisticated and quality made clothing. with the exception of an occasional purchase at their sister companies  i shop with them exclusively. i suppose that i can't expect 100% perfection from retailer-but 99% of the time-that's what i get. this is that 1%...this sweater is truly awful! i cannot (or find it very difficult at least) begin to describe what this sweater is like but it is so unlike retailer that  had it not been for the distinct pattern on the front,Fine gauge
-1,This is not even a dolman style sweater because it's loose fitting everywhere around the arm. the point of a dolman sweater is that the sleeves are fitted around the wrist/forearm  but this is not the case with this sweater. it's super loose around the wrist area - i can fit both of my wrists into a sleeve.,Fine gauge
-1,The fit of this sweater did not flatter my body-type. the top half did not fit well; the armpit area was loose fitting and the neckline was awkward.,Fine gauge
-1,It's beautiful  lovely quality  gorgeous bird. but the fit just doesn't work for me. i'm usually a medium  which is what i got  it's just too tight in the chest. for ref 36d. as is it already flares out some in the bottom so i'm not gonna bother w a larger size unfortunately,Fine gauge
-1,I ordered this in size xl in ivory. it was a drab  poorly-made  too-small sweater. the knit material wasn't good quality and the overall fit didn't work. i liked the light red color and maybe if that had been in stock  then i would have overlooked the problems. but  there are better ivory retailer cardigans available. this was returned.,Fine gauge
-1,I saw this on a mannequin in the store and so wanted it to work but was just too oversized and bulky. very good quality and material.,Fine gauge
-1,This tunic looks awesome in the picture. however  it is made of an uncomfortable sweater-like material not left of centers normal skin cotton. i was disappointed once i saw this in person. not a great material for summer.,Fine gauge
0,I love this blouse on the model online. however  i couldn't get it to lay right and the material was a little scratchy for me. did not like the glittery thread.,Fine gauge
0,"While i loved the sleeves on this sweater (the lace detailing was beautiful) the core area was really big. i agree with another reviewer who said it looked like a maternity top. i was hopeful but i sent it back. i am 5'7""  128lb and ordered the small.",Fine gauge
0,I ordered the pink  and it was gorgeous. the color and feel were so soft  i would have kept it if it were a blanket. but i did send it back because as a sweater  it just didn't lay right. it has a sort of inside layer that just didn't fit right with the outside sweater layer  so it ended up puffing up on the sides at the waist. that was not flattering. and the hood was too large and floppy looking. too bad.,Fine gauge
0,"I've had my eye on this for a while. went into my local retailer to try it on. tried on s and xs. it fit the same  not much different. the color is great. will go with so many things however i have a larger bust 34d-dd and am short wasted  generally wearing petite in skirts because of it. it sort of belled at the bottom  peplum""ish"" which made it look like my bust drooped to my waste. not flattering on me. i'm 5'3ish  118# and generally wear 4 in tops. it felt like it would stretch out as the day",Fine gauge
0,Was excited about this sweater but it really didn't wow me when i put it on. the v-neck is quite low and the sweater is a bit short. loved the ideas of the fringe but in the end  it went back.,Fine gauge
0,Dang  i got a small and was still swimming in it. it's made of the fabric that increasingly seems to be the fabric of choice for all things t-shirty- soft and thin-ish  a bit translucent. i'd rather wait for something more formfitting and flattering- back it went.,Fine gauge
0,"I wanted to love this turtleneck. i read the reviews before ordering. i love the color  the weight of the knit  the ribbing. the small fit me perfectly; i am a 34b  not broad shouldered  and on the thin side in my upper body. however  this item has a strange ""blousy"" fit. the picture of the back view hints at this but it's worse in person. it's like a bell shaped top or even slightly trapezey  which simply doesn't work with my shape. plus  i'm long waisted. i could have made this work had it not",Fine gauge
0,The smallest size  xs  was big on me  i was overwhelmed by the sweater. it is a bit of swing shape  doesn't hug the body. sleeves are interesting though  but not flattering on a petite frame. color is a pretty green  made me think of wintergreens. fabric may be itchy to some. just ok for me.    for reference xs bog on 115 lbs  30dd  26.5 in waist.,Fine gauge
0,This is a relatively cute top when you try it on. however  i don't think it will hold it's shape after even just 1 wear. it also doesn't seem like you could wash it without ruining it (like a shirt form a 'throw-away' cheap clothing store). i checked the fabric tag and it is a very high % viscose - meaning  it won't last long at all. i'm returning and feel frustrated with how cheap the fabric is.,Fine gauge
1,I like this sleeveless sweater - it adds warmth and visual interest without adding a lot of bulk. paired with black/white patterns it's pretty versatile (as seen in the pics) - a great staple for a more casual office environment. being a taller girl i love the length on it  and find it's flattering for my curvy figure.,Fine gauge
1,Wore this poncho and received 5 compliments before the school day even began! love the pockets and hood. bought three at the sale price - one for me  a friend  and my niece - different ages and sizes but everyone of us love this poncho.,Fine gauge
1,I bought this top in the stripe and i'm ordering the black now. it's a nice top to transition from summer to fall (even though the temp. doesn't change much in texas...#. it does run a bit large so size down. held up nicely when washed #hand wash cycle).,Fine gauge
1,I love the way this fits and feels on. it is a beautiful piece and makes me happy to wear. i ordered my usual size medium and it fits well. the only con is that it is dry clean only.,Fine gauge
1,Couldn't resist the polka dots! very cute and stylish cardi. since i'm short waisted this cropped style is perfect for me. i tried on the xs and small and while there wasn't a huge difference i went with the small since it had a bit more room. it's pricey so i waited for a sale to purchase!,Fine gauge
1,This is a lovely top. received many compliments. felt very feminine  and perfect for chilly spring. please take this to the dry cleaners  you will avoid feeling distraught as i did after washing it  which is the recommended method to clean it  and seeing it shrunk to half it's previous size. sad.,Fine gauge
1,"I like the pointelle feature in the front. i end up wearing a lot of black  but this at least gives me the option to do a bit of color underneath if i so chose. i've worn this with white  black and blue jeans w/ boots. looks great. i'm 5'3"" and 125 lbs. i got a medium  but i could have possibly gone with a small. my only complaint is that it might be a tad bit too long. since i'm on the shorter size  i can't imagine it would be too much of an issue for others.",Fine gauge
1,Fits perfectly! super soft and well-made! love the 3/4 sleeves and back drop. i can expect i will wear a lot in this coming fall/winter season in ca. highly recommend!,Fine gauge
1,Very pretty sweater! i love the bell sleeves with the design on the sides. the sweater runs a bit short though and wish it hung a little longer. looks great with flare jeans and boots!,Fine gauge
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
1,I'm a 32dd  so i wouldn't normally wear a bralette out of the house (not enough support). this bralette is actually very supportive and comfortable. i'm probably going to get at least one more. for reference  i'm a 32dd (small back  big boobs) and a small fit me extremely well.,Intimates
1,This is my first time purchasing a bra from this brand and i am in love. the style and quality are amazing. it is the most comfortable bra i owned to date and i will be buying more from this line. it provides a lift without all of the uncomfortable padding which requires continuous adjusting. i am saying goodbye to vs forever. i got this in red and the bra looks more expensive than it actually is and the fit is simply amazing.it is sexy and classic at the same time.,Intimates
1,"I ordered size small. i am 5' 6""  32 b. the fabric is super soft and the fit is great. there's an adorable little quote on the pantie's lining  and the bra has a beautiful print on its inner lining. the feel of the lace and fabric is divine. love it! one more thing to note...there is very little lining in the bra; really nothing more than an extra layer of fabric. it is enough to protect modesty  but not much else.",Intimates
1,"This well made chemise is figure flattering and just the right length for me (5'2""). i would wear it as a slip or a nightie. looking forward to wearing it!",Intimates
1,"I purchased this in the black and received it today.  it is silky feeling and is a quality camisole.  the color is a muted black  not all shiny as some silks are (and they often look cheap) but this looks great and could be worn alone  under leather  or with a sweater/kimono.  i usually wear a medium in tops  and this fit true to size.  i am 5'2"" and it doesn't look too long  but i do wish it came in a petite.  still keeping it!",Intimates
1,I love this gown so much. i have two of them! the gray and pink. they are really soft and comfortable. i sleep in them all of the time.,Intimates
1,This bra surprised me by how good it looks on. the placement of the lace and cups creates a flattering silhouette.,Intimates
1,Hi ladies   does this bra take a contortionist to put it on the first time? yes. did my boyfriend laugh at me hysterically while i tried to get it over the girls? yes. however  i am a large chested girl 34d  i bought the large and this is honestly the absolute best  most comfortable  amazing  non hurting/poking best strapless bra i have ever owned. i just bought three more  just in case the first two wear out. i love this  i love how far it comes down on the sides  i love that it doesn't slip do,Intimates
1,I own a couple of pairs of natori hipsters and recently purchased the yellow to go with the front close natori bra. i tried to wear thong panties but they just didn't work for me. thankfully  natori makes these lovely panties that still make me feel sexy and they are way more comfortable. they also receive rave reviews from my husband. : ),Intimates
-1,I have blazers in size 8 from this designer and they fit with room to spare. i understand this is a more fitted style  but it is still way too small. size 10 and size 12 were not much bigger. great colors and cute design  but just too small even if you do not plan on buttoning it. i hope they bring back this jacket but make it true to size.,Jackets
-1,Love retailer's kimonos and when i saw this pattern i had to have it! unfortunately  when i bought it the tag was already showing holes so they gave me 15% off... went to wear it for the first time  there was already a huge snag in it! i love retailer but for 98$ this is not worth your money.,Jackets
-1,Love the idea of this top  but it is so thin and the sequins look so cheap. the quality reminds me of something you would buy for $20 at a market abroad. definitely disappointed with the quality for the price. will be retuning.,Jackets
-1,I was leery of purchasing this blazer online without any reviews to read...and now i know better. the color and fabric are nice and what you would expect from the photos. the sleeves  however  ran small compared to the body. the shoulders also pulled and felt narrow compared to the torso. the body the opposite...too large and not flattering on an hourglass figure...no darts  no fitted places  nothing making it tailored to fit. open it hung wide with an unflattering silhouette. buttoned  it sprea,Jackets
-1,I have never had a purchase go wrong at retailer  which is why i am was not hesitant to spend this much money on the blazer. however  the quality is very poor - it feels like it might fall apart after one clean. also  the buttons where not sewn on properly. i wear an xs and the size was a good fit  but the overall quality was not worth the price (or even close to it).,Jackets
-1,This was completely different than i expected. the xs/s was so large that it looked messy. unfortunately i had to return it.,Jackets
-1,I'm returning this jacket. i tried it on after it was delivered  and was happy with the weight  cut  and color  although it's more dusty mauve than it looks in the picture. however  the stitching and the zipper are of such poor quality that i doubt  it will last very long. i actually can't get the zipper to zip at all. it's very rough and lightweight  and i'm afraid if i keep trying to force it i'll just end up breaking it. sorry to say yet another retailer item turns out to be poor quality.   thi,Jackets
-1,The color is completely off! i loved the way this vest looks in the picture! i was excited to have that vest but unfortunately what i received in the mail was a huge disappointment. it came wrinkled and the brown is not as rich as it is in the picture. very pale. horrible.,Jackets
-1,I wore this blazer for one day  didn't do anything strenuous  and the fabric started to disintegrate along the back  next to the center seam. it's completely unfixable  since it's not the seam that split but the fabric itself. what a waste of money.    as to the fit  it is a boxy cut through the waist. it looks better unbuttoned than buttoned. the jacket also shows a lot of the shirt you have under it  so it's good over something cute.    or  it would be  if it didn't fall apart.,Jackets
0,"How can some reviewers say this jacket is true to size  yet others say it runs small? i think it's because this jacket is cropped. by the time i took advantage of the fall perks 20 percent discount  the xs peach was sold out so i ended up ordering size s. i also got the xs gray to compare. sure enough  the xs looks better but is cropped on me. for ref  i'm 5' 5""  32a  115 lbs. i don't really need another almost black jacket so i'm either sized out or have to exchange for xs peach to wear with dr",Jackets
0,"Tried the navy in store. boy does it run big! i'm normally a size 6 / small (ish). 5'6""  34a-28-36. the xs was still quite boxy on me while the sleeves were well fitted. i understand this is the style and i like the design with the different sleeves. it was a no buy as the main fabric was already pilling in store and looked a bit cheap - sorry!",Jackets
0,I've been looking at this jacket on line and finally went to the store to try it on. i really liked the styling but the denim was quite stiff. i'd prefer a softer kind of fabric. i wonder if it would soften if it was washed. also  it ran surprisingly small. i usually take an xsmall or small but the small didn't leave me enough room to comfortably bend my arms. the medium worked better. i wonder how others feel about the fabric and and the sizing. i think i'll wait and see if this one goes on sal,Jackets
0,The colors on this jacket are a murky blue with a pale mauve tone for the lighter color. size is a bit on the large size. i did not feel that the jacket was that well-made and would hold up to much wear. i was looking for a jacket to dress up jeans  black pants etc and this did not fit that need. it would be a warm jacket if that is a need.,Jackets
0,"This vest looked so cute online. what you can't see however  is the vertical seaming under the arms does not have any fringe (about 3"" wide). that material in the seaming area looked like cheap polyester and it pulled slightly near the side pockets so it didn't lay nicely. also the top of the vest where it comes together also does not lay well and it falls awkwardly open - again showing the cheapy material that it's lined with. fits true to size. i usually wear a s/m in retailer and purchased the",Jackets
0,I wanted to love this jacket. so soft and great color. unfortunately it is just too light weight. it is almost like shirt fabric. nice heft to the fabric though. nice length - accept the sleeves were short on me. i am 5'10 and 135lbs. the small was the right size. i was looking for something slightly warmer to layer.,Jackets
0,If you have any curves at all then this will look like a sack on you. i wanted to love it because of the material and i've been looking for a blazer/ jacket that was heavy in weight. this just looked awful on me. maybe for someone who is very slender this will work but i was highly disappointed in the cut.,Jackets
